Datestamp,Restaurant visited:,Rating out of 5,App Experience,Pickup Experience,Timing Accuracy,Order Quality
11/13/2015,Peter's Coffee,5,Great,Great,Great,Great
11/18/2015,Orchid,3,Great,Great,Needs Improvement,Great
11/19/2015,Orchid,4,Great,Needs improvement,Great,Great
11/23/2015,Pizzzzzza,5,Great,Great,Great,Great
12/2/2015,Brownie's Bakery,3,Great,Needs improvement,Great,Great
11/26/2015,Brownie's Bakery,5,Great,Great,Great,Great
11/16/2015,Manger,4,Great,Needs improvement,Great,Great
11/16/2015,Manger,5,Great,Great,Great,Great
11/16/2015,Manger,4,Great,Needs improvement,Great,Great
11/16/2015,Manger,5,Great,Great,Great,Great
11/16/2015,Manger,4,Great,Great,Great,Great
11/17/2015,Manger,5,Great,Great,Great,Great
11/17/2015,Manger,5,Great,Great,Great,Great
11/17/2015,Manger,5,Great,Great,Great,Great
11/17/2015,Manger,5,Great,Great,Great,Great
11/17/2015,Manger,5,Great,Great,Great,Great
11/17/2015,Manger,5,Great,Great,Great,Great
11/17/2015,Manger,4,Great,Great,Great,Great
11/18/2015,Manger,4,Great,Great,Great,Needs Improvement
11/18/2015,Manger,5,Great,Great,Great,Great
11/18/2015,Manger,5,Great,Great,Great,Great
11/18/2015,Manger,4,Needs improvement,Great,Great,Great
11/19/2015,Manger,5,Great,Great,Great,Great
11/19/2015,Manger,5,Great,Great,Great,Great
11/19/2015,Manger,5,Great,Great,Great,Great
11/19/2015,Manger,4,Great,Great,Great,Needs Improvement
11/20/2015,Manger,3,Great,Needs improvement,Needs Improvement,Great
11/21/2015,Manger,5,Great,Great,Great,Great
11/26/2015,Pepper Jack,4,Needs improvement,Great,Great,Great
12/3/2015,Pepper Jack,5,Needs improvement,Great,Great,Great
11/13/2015,Rock's,5,Great,Great,Great,Great
11/16/2015,Rock's,5,Great,Great,Great,Great
11/19/2015,Sisters,5,Great,Great,Great,Great
11/19/2015,Sisters,5,Needs improvement,Great,Great,Great
11/19/2015,Sisters,5,Needs improvement,Great,Great,Great
11/19/2015,Sisters,5,Great,Great,Great,Great
11/20/2015,Sisters,5,Great,Great,Great,Great
11/20/2015,Sisters,5,Great,Great,Great,Great
11/23/2015,Sisters,5,Great,Great,Great,Great
11/23/2015,Sisters,5,Great,Great,Great,Great
11/23/2015,Sisters,4,Great,Needs improvement,Great,Great
11/24/2015,Sisters,1,Great,Needs improvement,Needs Improvement,Great
11/24/2015,Sisters,3,Needs improvement,Great,Great,Great
11/24/2015,Sisters,2,Great,Great,Needs Improvement,Great
11/24/2015,Sisters,4,Great,Needs improvement,Great,Great
11/24/2015,Sisters,5,Great,Great,Great,Great
11/25/2015,Sisters,5,Great,Great,Great,Great
11/25/2015,Sisters,5,Great,Great,Great,Great
11/25/2015,Sisters,5,Great,Great,Great,Great
11/25/2015,Sisters,5,Great,Great,Great,Great
11/25/2015,Sisters,4,Needs improvement,Great,Great,Great
11/30/2015,Sisters,5,Needs improvement,Great,Great,Great
11/30/2015,Sisters,5,Great,Great,Great,Great
12/1/2015,Sisters,4,Needs improvement,Great,Needs Improvement,Great
12/1/2015,Sisters,5,Great,Great,Great,Great
12/2/2015,Sisters,5,Great,Great,Great,Great
12/2/2015,Sisters,4,Great,Great,Great,Great
11/19/2015,Second Cafe,5,Great,Great,Great,Great
11/19/2015,Second Cafe,5,Great,Great,Great,Great
11/20/2015,Second Cafe,5,Great,Great,Great,Great
11/13/2015,Thai Express,5,Great,Great,Great,Great
11/13/2015,Thai Express,3,Great,Needs improvement,Great,Great
11/14/2015,Thai Express,4,Great,Great,Great,Great
11/16/2015,Thai Express,5,Great,Great,Great,Great
11/17/2015,Thai Express,4,Great,Great,Great,Great
11/18/2015,Thai Express,5,Great,Great,Great,Great
11/19/2015,Thai Express,2,Great,Great,Great,Great
11/16/2015,Simple Greens,4,Great,Great,Great,Great
11/25/2015,Simple Greens,4,Great,Great,Great,Great
11/25/2015,Simple Greens,5,Great,Great,Great,Great
11/20/2015,Slice of New York,4,Great,Great,Great,Needs Improvement
11/12/2015,Turtle Cafe,1,Great,Needs improvement,Needs Improvement,Great
11/13/2015,Turtle Cafe,5,Great,Great,Great,Great
11/13/2015,Turtle Cafe,5,Great,Great,Great,Great
11/13/2015,Turtle Cafe,3,Great,Needs improvement,Great,Great
11/13/2015,Turtle Cafe,4,Great,Great,Great,Great
11/13/2015,Turtle Cafe,3,Needs improvement,Needs improvement,Needs Improvement,Great
11/16/2015,Turtle Cafe,5,Great,Great,Great,Great
11/16/2015,Turtle Cafe,4,Great,Great,Needs Improvement,Great
11/24/2015,Snap ,5,Great,Great,Great,Great
11/27/2015,Souvlaki House,5,Great,Great,Great,Great
12/2/2015,Souvlaki House,5,Great,Great,Great,Great
11/12/2015,Starfruit ,5,Great,Great,Great,Great
11/13/2015,Starfruit ,5,Great,Great,Great,Great
12/2/2015,Kebab Kitchen,3,Great,Needs improvement,Needs Improvement,Great
11/21/2015,Sushi Place,5,Great,Great,Great,Great
11/13/2015,Sushi Naniwa,5,Great,Great,Great,Great
11/13/2015,Sushi Naniwa,5,Needs improvement,Great,Great,Great
11/13/2015,Sushi Naniwa,4,Great,Great,Great,Great
11/19/2015,Sushi Ya,5,Great,Great,Great,Great
12/1/2015,Tacorrito ,4,Great,Great,Great,Great
12/1/2015,Tacorrito ,5,Great,Great,Great,Great
12/4/2015,Tacorrito ,5,Needs improvement,Great,Great,Great
11/30/2015,Tacorrito 2,4,Great,Great,Great,Needs Improvement
12/4/2015,Tacorrito 2,5,Great,Great,Great,Great
11/16/2015,Tahini ,4,Great,Great,Great,Great
11/18/2015,Tahini ,2,Needs improvement,Needs improvement,Needs Improvement,Needs Improvement
11/20/2015,Tahini ,5,Great,Great,Great,Great
11/20/2015,Tahini ,5,Great,Great,Great,Great
11/21/2015,Tahini ,5,Great,Great,Great,Great
11/19/2015,Ramen,4,Needs improvement,Needs improvement,Great,Great
11/20/2015,Ramen,4,Great,Great,Great,Great
11/23/2015,Ramen,3,Great,Great,Great,Needs Improvement
11/24/2015,Ramen,5,Great,Great,Great,Great
11/25/2015,Ramen,4,Great,Great,Needs Improvement,Great
12/1/2015,Thai Please,4,Great,Great,Great,Great
12/1/2015,Thai Please,5,Great,Great,Great,Great
12/1/2015,Thai Please,5,Great,Great,Great,Great
12/1/2015,Thai Please,5,Great,Great,Great,Great
12/1/2015,Thai Please,5,Great,Great,Great,Great
12/2/2015,Thai Please,5,Needs improvement,Great,Great,Great
12/2/2015,Thai Please,5,Great,Great,Great,Great
12/2/2015,Thai Please,5,Great,Great,Great,Great
12/3/2015,Thai Please,4,Great,Great,Great,Great
12/3/2015,Thai Please,5,Great,Great,Great,Great
12/3/2015,Thai Please,5,Great,Great,Great,Great
12/3/2015,Thai Please,4,Great,Great,Needs Improvement,Great
12/3/2015,Thai Please,5,Needs improvement,Great,Great,Great
12/4/2015,Thai Please,5,Great,Great,Great,Great
12/8/2015,Thai One,5,Great,Great,Great,Great
12/8/2015,Thai One,4,Great,Needs improvement,Great,Needs Improvement
12/2/2015,Fresh Thai,5,Great,Great,Great,Great
12/4/2015,Fresh Thai,5,Great,Great,Great,Great
12/7/2015,Fresh Thai,4,Great,Great,Great,Great
12/7/2015,Fresh Thai,3,Great,Great,Needs Improvement,Great
11/23/2015,Fish House,5,Great,Great,Great,Great
11/24/2015,Fish House,5,Great,Great,Great,Great
11/24/2015,Fish House,3,Great,Great,Needs Improvement,Needs Improvement
11/24/2015,Fish House,5,Great,Great,Great,Great
11/30/2015,Fish N Chips,5,Needs improvement,Great,Great,Great
12/1/2015,Fish N Chips,5,Great,Great,Great,Great
12/2/2015,Fish N Chips,5,Great,Great,Great,Great
12/2/2015,Fish N Chips,5,Great,Great,Great,Great
11/19/2015,Protein House,5,Great,Great,Great,Great
11/19/2015,Protein House,5,Great,Great,Great,Great
11/20/2015,Protein House,5,Great,Great,Great,Great
11/20/2015,Protein House,5,Great,Great,Great,Great
11/20/2015,Protein House,5,Great,Great,Great,Great
11/23/2015,Protein House,4,Great,Great,Needs Improvement,Great
11/23/2015,Protein House,5,Great,Great,Great,Great
11/23/2015,Protein House,5,Great,Great,Great,Great
11/23/2015,Protein House,3,Needs improvement,Great,Great,Needs Improvement
11/23/2015,Protein House,4,Great,Needs improvement,Great,Great
11/24/2015,Protein House,5,Great,Great,Great,Great
11/24/2015,Protein House,4,Great,Needs improvement,Great,Great
11/24/2015,Protein House,5,Great,Great,Great,Great
11/24/2015,Protein House,4,Great,Needs improvement,Great,Great
11/24/2015,Protein House,5,Great,Great,Great,Great
11/25/2015,Protein House,4,Great,Needs improvement,Needs Improvement,Great
11/25/2015,Protein House,5,Great,Great,Great,Great
11/30/2015,Protein House,5,Great,Great,Great,Great
12/1/2015,Protein House,5,Great,Great,Great,Great
12/3/2015,Protein House,2,Great,Needs improvement,Great,Needs Improvement
12/3/2015,Protein House,1,Needs improvement,Needs improvement,Needs Improvement,Needs Improvement
12/7/2015,Protein House,5,Great,Great,Great,Great
11/20/2015,Protein Place,5,Great,Great,Great,Great
11/20/2015,Protein Place,5,Great,Great,Great,Great
11/20/2015,Protein Place,5,Great,Great,Great,Great
11/20/2015,Protein Place,5,Great,Great,Great,Great
11/23/2015,Protein Place,4,Great,Great,Great,Great
11/23/2015,Protein Place,4,Needs improvement,Great,Great,Great
11/23/2015,Protein Place,2,Needs improvement,Great,Needs Improvement,Great
11/23/2015,Protein Place,3,Great,Great,Needs Improvement,Great
11/23/2015,Protein Place,2,Great,Needs improvement,Needs Improvement,Needs Improvement
11/23/2015,Protein Place,5,Great,Great,Great,Great
11/23/2015,Protein Place,5,Great,Great,Great,Great
11/24/2015,Protein Place,4,Great,Great,Great,Great
11/23/2015,Protein Express,5,Great,Great,Great,Great
12/4/2015,Protein Express,5,Great,Needs improvement,Needs Improvement,Great
12/7/2015,Protein Express,5,Great,Great,Great,Great
11/12/2015,Tony's,5,Great,Great,Great,Great
11/13/2015,Tony's,3,Great,Great,Great,Needs Improvement
11/13/2015,Energy Bar,5,Great,Great,Great,Great
11/13/2015,Energy Bar,5,Needs improvement,Great,Great,Great
11/16/2015,Energy Bar,5,Great,Great,Great,Great
11/23/2015,Yorkville Diner,4,Great,Great,Great,Great
11/27/2015,Yorkville Diner,1,Needs improvement,Needs improvement,Great,Great
11/13/2015,Bruno's,4,Great,Great,Great,Great
11/13/2015,Bruno's,3,Needs improvement,Great,Great,Great
11/19/2015,Bruno's,5,Great,Great,Great,Great
11/12/2015,Zippy's,4,Great,Great,Great,Great
11/12/2015,Zippy's,2,Great,Great,Great,Needs Improvement
11/12/2015,Zippy's,5,Great,Great,Great,Great
11/15/2015,Zippy's,5,Great,Great,Great,Great
11/16/2015,Zippy's,5,Great,Great,Great,Great
11/17/2015,Zippy's,5,Great,Great,Great,Great
11/17/2015,Zippy's,5,Great,Great,Great,Great
11/20/2015,Zippy's,5,Great,Great,Great,Great
11/24/2015,Zippy's,5,Great,Great,Great,Great
11/26/2015,Zippy's,5,Needs improvement,Great,Great,Great
11/27/2015,Zippy's,5,Great,Great,Great,Great
