Datestamp,Restaurant visited:,Rating out of 5,App Experience,Pickup Experience,Timing Accuracy,Order Quality
11/25/2015,Fisherman's Seafood,2,Needs improvement,Needs improvement,Needs Improvement,Needs Improvement
11/18/2015,Da Burger,4,Great,Great,Great,Great
11/19/2015,Da Burger,5,Great,Great,Great,Great
11/20/2015,Da Burger,5,Great,Great,Great,Great
11/25/2015,Da Burger,5,Great,Great,Great,Great
11/25/2015,Da Burger,5,Great,Great,Great,Great
11/26/2015,Da Burger,5,Great,Great,Great,Great
11/27/2015,Da Burger,5,Great,Great,Great,Great
11/27/2015,Da Burger,5,Great,Great,Great,Great
11/27/2015,Da Burger,5,Great,Great,Great,Great
11/30/2015,Da Burger,5,Great,Great,Great,Great
11/30/2015,Da Burger,5,Great,Great,Great,Great
11/30/2015,Da Burger,5,Great,Great,Great,Great
11/18/2015,Dick's Diner,5,Great,Great,Great,Great
11/12/2015,Fresh Kitchen,5,Needs improvement,Great,Great,Great
11/12/2015,Fresh Kitchen,5,Great,Great,Great,Great
11/12/2015,Fresh Kitchen,5,Great,Great,Great,Great
11/13/2015,Fresh Kitchen,5,Great,Great,Great,Great
11/13/2015,Fresh Kitchen,5,Great,Great,Great,Great
11/13/2015,Fresh Kitchen,5,Great,Great,Great,Great
11/13/2015,Fresh Kitchen,5,Needs improvement,Great,Great,Great
11/13/2015,Fresh Kitchen,4,Great,Great,Needs Improvement,Great
11/13/2015,Fresh Kitchen,4,Great,Needs improvement,Great,Needs Improvement
11/13/2015,Fresh Kitchen,4,Great,Needs improvement,Needs Improvement,Great
11/13/2015,Fresh Kitchen,5,Great,Great,Great,Great
11/13/2015,Fresh Kitchen,4,Great,Great,Great,Great
11/12/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/12/2015,Donuts N Coffee,3,Needs improvement,Great,Great,Great
11/13/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/13/2015,Donuts N Coffee,2,Needs improvement,Great,Great,Great
11/13/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/13/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/13/2015,Donuts N Coffee,4,Great,Great,Great,Great
11/13/2015,Donuts N Coffee,5,Needs improvement,Needs improvement,Great,Great
11/13/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/14/2015,Donuts N Coffee,5,Great,Great,Needs Improvement,Great
11/16/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/16/2015,Donuts N Coffee,4,Great,Great,Great,Great
11/16/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/16/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/16/2015,Donuts N Coffee,3,Great,Needs improvement,Great,Great
11/17/2015,Donuts N Coffee,5,Great,Needs improvement,Great,Great
11/17/2015,Donuts N Coffee,3,Great,Needs improvement,Great,Great
11/17/2015,Donuts N Coffee,2,Needs improvement,Great,Great,Needs Improvement
11/17/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/17/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/18/2015,Donuts N Coffee,4,Great,Great,Great,Great
11/18/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/18/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/18/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/18/2015,Donuts N Coffee,4,Great,Great,Great,Great
11/18/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/19/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/19/2015,Donuts N Coffee,5,Great,Great,Great,Great
11/19/2015,Donuts N Coffee,5,Great,Great,Great,Great
12/3/2015,Dylan's,4,Great,Great,Needs Improvement,Great
11/24/2015,The Egg Co.,5,Great,Great,Great,Great
11/24/2015,The Egg Co.,5,Great,Great,Great,Great
11/24/2015,The Egg Co.,3,Needs improvement,Great,Great,Great
11/24/2015,The Egg Co.,5,Great,Great,Great,Great
11/25/2015,The Egg Co.,5,Great,Great,Great,Great
11/24/2015,The Egg Co.,5,Great,Great,Great,Great
11/24/2015,The Egg Co.,5,Great,Great,Great,Great
11/25/2015,The Egg Co.,5,Great,Great,Great,Great
11/25/2015,The Egg Co.,5,Great,Great,Great,Great
12/1/2015,The Egg Co.,5,Needs improvement,Great,Great,Great
11/30/2015,Sushi House,5,Great,Great,Great,Great
11/24/2015,Macho Taqueria,5,Great,Great,Great,Great
12/2/2015,Macho Taqueria,5,Great,Great,Great,Great
11/19/2015,Big Boy Burger,5,Great,Great,Great,Great
11/19/2015,Big Boy Burger,3,Great,Needs improvement,Great,Needs Improvement
11/19/2015,Big Boy Burger,5,Great,Great,Great,Great
11/19/2015,Big Boy Burger,4,Great,Needs improvement,Great,Great
11/19/2015,Big Boy Burger,5,Great,Great,Great,Great
11/19/2015,Big Boy Burger,5,Needs improvement,Great,Great,Great
11/19/2015,Big Boy Burger,5,Great,Great,Great,Great
11/20/2015,Big Boy Burger,4,Great,Needs improvement,Great,Great
11/20/2015,Big Boy Burger,5,Great,Great,Needs Improvement,Great
11/20/2015,Big Boy Burger,5,Great,Great,Great,Great
11/20/2015,Big Boy Burger,5,Great,Great,Great,Great
11/20/2015,Big Boy Burger,5,Great,Great,Great,Great
11/20/2015,Big Boy Burger,4,Great,Great,Great,Needs Improvement
11/20/2015,Big Boy Burger,5,Great,Great,Great,Great
11/23/2015,Big Boy Burger,4,Needs improvement,Great,Great,Great
11/23/2015,Big Boy Burger,5,Great,Great,Great,Great
11/23/2015,Big Boy Burger,2,Great,Great,Great,Needs Improvement
11/23/2015,Big Boy Burger,5,Great,Great,Great,Great
11/23/2015,Big Boy Burger,5,Needs improvement,Great,Great,Great
11/23/2015,Big Boy Burger,5,Great,Great,Great,Great
11/24/2015,Big Boy Burger,5,Great,Great,Great,Great
