catcherid,CSAA,CSAA_lb,CSAA_ub
103943,0.06596258905624136,0.05035203816252465,0.08233929069703605
5560,0.06294258146824838,0.0329731561147365,0.0959442409153165
97,0.0625347218146608,0.04059495399559149,0.08606085061113133
4649,0.05313868903933339,0.025882633896205764,0.08308463174366781
5404,0.04826873580659474,0.03366570974620764,0.06363856867966056
7123,0.04742377625462296,0.02249839516137253,0.0746870140642451
387,0.0438405806271327,0.028098359571738563,0.060510230776634644
6035,0.04166934181242293,0.024903360469226643,0.05951039714174966
4201,0.04130233317529458,0.027200452691555355,0.056159275638546446
4263,0.04101072161085334,0.020643441575621257,0.06299590098070201
1630,0.03988746749110833,0.02004811410899271,0.06127322834371823
7460,0.03840826769005856,0.013824216742353734,0.06544371063588017
4024,0.038206515497587246,0.024326754504645887,0.052835939613015026
2847,0.03669031027516778,0.02369925612786483,0.050344060521192946
7745,0.03631876585139571,0.023232669159251595,0.05007961971640473
163058,0.03631123102829542,0.008020367224669644,0.0679604732294174
5906,0.03413511881953951,0.014260409447351408,0.05563979808483749
165572,0.033694130639650766,0.01626248143882625,0.05237164130149752
6428,0.03318537158244411,0.013642760080347038,0.05431467400292733
299,0.02768382231135036,0.0029624686416778734,0.05513190637458543
3485,0.026563190804774872,0.009399963275021295,0.045009724368474946
3820,0.02581943853958879,0.011039199941081601,0.04154760101341476
2113,0.02561538750442982,-0.0006336560012929482,0.05501937387353589
167831,0.025002027577196217,-0.003383960619794457,0.05713621945741981
2879,0.024010690734418916,-0.0007849941782878123,0.051644168622245745
6974,0.023299768606165394,0.0017992467142142199,0.04691504642246147
5385,0.022463720446145474,-0.008594052037501243,0.05817759327707728
6073,0.021340791430986716,0.006414270588867288,0.037273766729276125
11927,0.02120328415380246,-0.00698236499852245,0.053215443770298354
126402,0.019108053108434053,0.006944644797847177,0.03194466073027896
2795,0.01853741288156291,0.005613273252891016,0.03222816634121717
9030,0.018439399858051486,0.006465473909652686,0.031069047156604024
14189,0.01832510209095578,-0.012425511830697067,0.05381965365118874
163522,0.018256754667766995,0.004212781946593969,0.03321297758510272
5766,0.018184028132576413,-0.006233244494517731,0.0455020762773829
7758,0.017788414141331643,-0.00904125661486882,0.04817636966156719
56,0.017402256803684624,-0.011069428999061659,0.049929863406218855
147944,0.016460484357292138,-0.0036922707025907053,0.03857979165268216
3341,0.014956133742206723,0.00020526949313670606,0.030747647875275508
199733,0.014439787757723088,-0.015122750502316318,0.048530163499659384
162226,0.014110039642838357,0.0020265005623755217,0.026888359179919774
11685,0.014099962505448205,-0.0006692932525287909,0.02992084151606561
11926,0.013863332152862118,-0.016258527182838378,0.04872728603954152
883,0.013856369966350202,-0.0014945370354703669,0.030349175541860673
14314,0.013724930993883666,-0.008559526622483438,0.03850386938030126
4320,0.012772851306232014,-0.0026949157210166552,0.029412418116684824
